N-gram,Tần suất,Dịch
thiep,1,thiep
thįt,1,thįt
thêt,1,thêt
thíc,1,thíc
thùy,1,thùy
thúch,1,thúch
thúy,1,thúy
thđ,1,thđ
thươmg,1,thương
thz,1,thz
thươngc,1,thươngc
thườg,1,thường
thưởnh,1,thường
thịtt,1,thịt
thỏai,1,thoải
thừơng,1,thường
thâi,1,thâi
thw,1,thw
thitnuonghanquoc,1,thitnuonghanquoc
thiênj,1,thiện
thks,1,thks
thoág,1,thoáng
thpt,1,thpt
thuờg,1,thường
tht,1,tht
ththieu,1,ththieu
thue,1,thue
thuoqng,1,thuoqng
thuowng,1,thuowng
thuơng,1,thương
tanedo,1,tanedo
tamago,1,tamago
stirred,1,stirred
stk,1,stk
stars,1,stars
stressed,1,stressed
subo,1,subo
standby,1,standby
sundaeguk,1,sundaeguk
spots,1,spots
sriracha,1,sriracha
ss,1,ss
ssm,1,ssm
staffs,1,staffs
takoh,1,takoh
tac,1,tac
sốg,1,sốg
sừon,1,sừon
tabaco,1,tabaco
tableside,1,tableside
sươ,1,sươ
taiwaineese,1,taiwaineese
taiwan,1,taiwan
takayoki,1,takayoki
takeaway,1,takeaway
tako,1,tako
sươdn,1,sươdn
sě,1,sě
sunde,1,sunde
suòn,1,suòn
sundea,1,sundea
suo,1,suo
suon,1,suon
sushiro,1,sushiro
sxep,1,sxep
sąch,1,sąch
sydney,1,sydney
ság,1,ság
sâch,1,sâch
sùon,1,sùon
súhi,1,súhi
săc,1,săc
tich,1,tich
tieeud,1,tieeud
tươii,1,tươii
tìh,1,tìh
tìnn,1,tìnn
tíck,1,tíck
tùe,1,tùe
tùnh,1,tùnh
tươ,1,tươ
tươngg,1,tươngg
tâầng,1,tâầng
uci,1,uci
uhm,1,ừm
uho,1,uho
ukilô,1,ukilô
têt,1,têt
tâmd,1,tâmd
tuơng,1,tuơng
tunhienladep,1,tunhienladep
tuoeng,1,tuoeng
tuyet,1,tuyet
tuô,1,tuô
tuơi,1,tươi
tuỵet,1,tuyệt
tâi,1,tâi
tvb,1,tvb
tvl,1,tvl
tvt,1,tvt
tyxsomewhere,1,tyxsomewhere
tâ,1,tâ
umer,1,umer
ttok,1,ttok
vanhanhmall,1,vanhanhmall
uốg,1,uốg
uớp,1,uớp
vaiz,1,vaiz
vaod,1,vaod
uán,1,uán
var,1,var
vcc,1,vcc
vcher,1,vcher
vde,1,vde
uóng,1,uóng
usuk,1,usuk
uni,1,uni
updated,1,updated
uniqlo,1,uniqlo
uong,1,uong
upsize,1,upsize
us,1,us
uses,1,uses
ttoan,1,ttoan
tieu,1,tieu
tokbooki,1,tokbooki
toalet,1,toalet
tobikko,1,tobikko
toille,1,toille
toji,1,toji
tokbbki,1,tokbbki
tokguk,1,tokguk
tmee,1,tmee
tokkbokki,1,tokkbokki
tokki,1,tokki
tokpoki,1,tokpoki
tokpokki,1,tokpokki
tomyun,1,tomyun
tmj,1,tmj
tkiu,1,tkiu
tonyum,1,tonyum
tinhd,1,tinhd
tikhách,1,tikhách
tiktokdơ,1,tiktokdơ
timjum,1,timjum
tira,1,tira
tiếpp,1,tiếp
tive,1,tive
tièn,1,tiền
tiê,1,tiền
tiêp,1,tiếp
tiêpd,1,tiêpd
tiếpmhachs,1,tiếpmhachs
tomzum,1,tomzum
tteokbookki,1,tteokbookki
truớc,1,trước
trieu,1,trieu
triình,1,triình
troii,1,troii
trsua,1,trà sữa
truong,1,truong
tryy,1,tryy
trees,1,trees
trươ,1,trước
trươca,1,trước
trắg,1,trắng
trờii,1,trời
trứơc,1,trước
tsao,1,tại sao
trending,1,trending
topoki,1,topoki
tourguide,1,tourguide
topokki,1,topokki
toppin,1,toppin
toppoki,1,toppoki
toronto,1,toronto
toyota,1,toyota
traning,1,traning
tranning,1,tranning
transitions,1,transitions
toiw,1,toiw
nct,1,nct
dđ,1,dđ
dungk,1,dungk
duong,1,đường
dvu,1,dịch vụ
dwaenjang,1,dwaenjang
dziên,1,viên
dècor,1,dècor
décor,1,décor
dượd,1,dượd
dạg,1,dạg
dịcho,1,dịcho
ears,1,ears
eattheworld,1,eattheworld
eco,1,eco
duii,1,duii
dtw,1,dtw
dl,1,dl
dm,1,dm
dmaris,1,dmaris
dodoog,1,dodoog
dodook,1,dodook
doenjang,1,doenjang
dongjibi,1,dongjibi
doya,1,doya
doyaj,1,doyaj
favlist,1,favlist
fa,1,fa
faces,1,faces
fanpgae,1,fanpgae
fav,1,fav
ehe,1,ehe
feb,1,feb
feet,1,feet
experiences,1,experiences
expected,1,expected
ehehe,1,ehehe
eim,1,eim
engawa,1,engawa
enhances,1,enhances
enjoyed,1,enjoyed
enoki,1,enoki
ep,1,ep
etc,1,etc
diịc,1,dịch
diã,1,dĩa
cáa,1,cá
cuong,1,cuồng
cutephomaique,1,cutephomaique
cuuyeejn,1,cuuyeejn
cuô,1,cuốn
cácc,1,các
disum,1,disum
când,1,cần
cåi,1,cải
cíu,1,cứu
códe,1,códe
cúôn,1,cuốn
cũmg,1,cũng
cũnv,1,cũng
cunhx,1,cũng
cucng,1,cũng
covi,1,covi
cp,1,cp
crm,1,crm
crumbs,1,crumbs
csgt,1,csgt
cubgxvtamj,1,cubgxvtamj
cảa,1,cả
cẻm,1,cảm
dabest,1,dabest
delicous,1,delicous
depends,1,depends
derco,1,derco
dethuong,1,dễ thương
dethw,1,dethw
dieu,1,điều
deliciousfoods,1,deliciousfoods
dac,1,dac
dallas,1,dallas
ddongbojib,1,ddongbojib
ddỉnh,1,ddỉnh
decol,1,decol
dek,1,dek
fewer,1,fewer
fi,1,fi
halyu,1,halyu
gôgle,1,gôgle
gīa,1,gīa
gưit,1,gưit
hachiban,1,hachiban
hainam,1,hainam
hallowing,1,hallowing
hambuger,1,hambuger
hamtrip,1,hamtrip
hanbok,1,hanbok
hands,1,hands
gôdmother,1,gôdmother
góa,1,góa
gòy,1,gòy
gògi,1,gògi
gru,1,gru
gs,1,gs
guk,1,guk
guu,1,guu
gv,1,gv
gyushige,1,gyushige
gàaa,1,gàaa
gàmen,1,gàmen
gê,1,gê
gíac,1,gíac
hangjengsal,1,hangjengsal
hanseyo,1,hanseyo
hetic,1,hetic
hg,1,hg
hh,1,hh
hibicus,1,hibicus
hichic,1,hichic
hiehie,1,hiehie
hihu,1,hihu
himlam,1,himlam
hiphop,1,hiphop
hits,1,hits
hiuhiu,1,hiuhiu
hix,1,hix
hizhiz,1,hizhiz
hewts,1,hewts
heoo,1,heoo
hawaii,1,hawaii
haz,1,haz
hd,1,hd
hdd,1,hdd
hdo,1,hdo
heads,1,heads
heayum,1,heayum
heeyum,1,heeyum
heineken,1,heineken
held,1,held
helloween,1,helloween
grandview,1,grandview
fil,1,fil
francislong,1,francislong
freeflow,1,freeflow
frendly,1,frendly
friendlier,1,friendlier
frustrating,1,frustrating
fulltoping,1,fulltoping
fulltopping,1,fulltopping
foodreview,1,foodreview
foodlover,1,foodlover
foodiesaigon,1,foodiesaigon
foodie,1,foodie
fim,1,fim
flavoury,1,flavoury
fnhor,1,fnhor
fo,1,fo
foc,1,foc
followed,1,followed
fomo,1,fomo
foodaholic,1,foodaholic
fushion,1,fushion
fv,1,fv
ghiaa,1,ghiaa
giga,1,giga
giátiền,1,giátiền
gióing,1,gióing
giừo,1,giừo
gochujang,1,gochujang
goin,1,goin
goj,1,goj
goodbye,1,goodbye
goviet,1,goviet
gppk,1,gppk
grabfood,1,grabfood
ghibli,1,ghibli
ggmaps,1,ggmaps
fải,1,fải
geumseung,1,geumseung
galbin,1,galbin
galic,1,galic
gamseongjirim,1,gamseongjirim
gejang,1,gejang
gelato,1,gelato
genz,1,genz
gets,1,gets
cosplay,1,cosplay
quayy,1,quayy
biet,1,biết
bg,1,bg
bgio,1,bây giờ
bibim,1,bibim
bibimbap,1,bibimbap
bic,1,bic
bie,1,bie
biets,1,biets
biếtt,1,biếtt
bigbang,1,bigbang
bijjajjeong,1,bijjajjeong
bingsung,1,bingsung
bingxu,1,bingxu
beochip,1,beochip
baemin,1,baemin
baj,1,baj
balls,1,balls
banbe,1,banbe
baoboibaovatchinhanhquan,1,baoboibaovatchinhanhquan
baoh,1,baoh
bata,1,bata
batd,1,batd
bbqongmapvvk,1,bbqongmapvvk
biê,1,biê
bjo,1,bjo
bringing,1,bringing
brings,1,brings
bro,1,bro
bros,1,bros
bkk,1,bkk
bs,1,bs
bst,1,bst
bthh,1,bthh
budweiser,1,budweiser
buffe,1,buffe
bugogi,1,bugogi
branding,1,branding
branches,1,branches
bqq,1,bqq
blindbox,1,blindbox
bni,1,bni
boc,1,boc
bohem,1,bohem
boheme,1,boheme
borgna,1,borgna
boutique,1,boutique
aấm,1,aấm
aăn,1,aăn
ahihi,1,ahihi
ahn,1,ahn
ahuhu,1,ahuhu
ajinomoto,1,ajinomoto
akelo,1,akelo
al,1,al
ayyo,1,ayyo
amaiten,1,amaiten
amazingplace,1,amazingplace
afforable,1,afforable
aeonmall,1,aeonmall
abt,1,abt
acc,1,acc
accoutics,1,accoutics
activities,1,activities
acun,1,acun
adapted,1,adapted
addictive,1,addictive
adjusted,1,adjusted
admin,1,admin
asaha,1,asaha
attitudes,1,attitudes
aww,1,aww
approved,1,approved
amthuctrunghoa,1,amthuctrunghoa
angicungthem,1,angicungthem
anhchị,1,anhchị
anhh,1,anhh
anhlectjade,1,anhlectjade
animations,1,animations
anni,1,anni
annyeonghaseyo,1,annyeonghaseyo
anq,1,anq
anrakutei,1,anrakutei
bugolgi,1,bugolgi
builds,1,builds
chắ,1,chắ
cháynước,1,cháynước
châp,1,châp
chópp,1,chópp
chă,1,chă
chănns,1,chănns
chưong,1,chưong
chươbg,1,chươbg
chắx,1,chắx
chịuu,1,chịuu
chồnh,1,chồnh
chụpp,1,chụpp
citigym,1,citigym
ciên,1,ciên
cj,1,cj
chyên,1,chyên
chuơng,1,chuơng
chuyen,1,chuyen
chunh,1,chunh
chix,1,chix
chiê,1,chiê
chiênđều,1,chiênđều
chiêù,1,chiêù
chiẻn,1,chiẻn
cholon,1,cholon
chops,1,chops
chopsticks,1,chopsticks
chos,1,chos
chrismart,1,chrismart
chtr,1,chtr
chtrinh,1,chtrinh
chuaa,1,chuaa
chuan,1,chuan
clerks,1,clerks
cloned,1,cloned
complemented,1,complemented
comtamthuankieu,1,comtamthuankieu
conbo,1,conbo
conditioning,1,conditioning
cons,1,cons
convoivàngrestaurant,1,convoivàngrestaurant
compared,1,compared
coctail,1,coctail
closes,1,closes
closing,1,closing
cmn,1,con mẹ nó
cmnl,1,cmnl
cmnr,1,cmnr
cmsn,1,cmsn
cnay,1,cnay
cnhanh,1,cnhanh
cobe,1,cobe
coc,1,coc
cocacola,1,cocacola
cococola,1,cococola
cocoichibanya,1,cocoichibanya
chirashi,1,chirashi
chinesefood,1,chinesefood
bukkake,1,bukkake
bụg,1,bụg
cach,1,cach
cakes,1,cakes
called,1,called
calmet,1,calmet
campuchia,1,campuchia
cann,1,cann
cano,1,cano
capuchino,1,capuchino
bểp,1,bểp
bằc,1,bằc
bắtt,1,bắtt
bắcc,1,bắcc
bulogi,1,bulogi
bulot,1,bulot
burgur,1,burgur
busankoreanfood,1,busankoreanfood
busánkoreanfood,1,busánkoreanfood
bée,1,bée
béoo,1,béoo
bòa,1,bòa
băt,1,băt
bđ,1,bđ
chbi,1,chbi
cheddar,1,cheddar
cheeseball,1,cheeseball
chefs,1,chefs
chek,1,chek
chekin,1,chekin
cheonggukjang,1,cheonggukjang
chesse,1,chesse
chiangmai,1,chiangmai
chiavago,1,chiavago
chie,1,chie
chikin,1,chikin
children,1,children
chillthai,1,chillthai
chc,1,chc
chawânmushi,1,chawânmushi
chaude,1,chaude
cc,1,cc
chae,1,chae
chairs,1,chairs
changcanhvien,1,changcanhvien
chaomy,1,chaomy
charged,1,charged
chasu,1,chasu
chatramue,1,chatramue
hiêp,1,hiêp
hiẹp,1,hiẹp
hjhj,1,hjhj
nhiẻu,1,nhiẻu
nhaâ,1,nhaâ
nhea,1,nhea
nhenk,1,nhenk
nhiw,1,nhiw
nhiêi,1,nhiêi
nhiêt,1,nhiêt
nhiêud,1,nhiêud
nhiếh,1,nhiếh
nhânh,1,nhânh
nhiềuu,1,nhiềuu
nhiệ,1,nhiệ
nhoaa,1,nhoaa
nhq,1,nhq
nhubgd,1,nhubgd
nhàaa,1,nhàaa
nháa,1,nháa
nhanqua,1,nhanqua
nhannh,1,nhannh
nhanhh,1,nhanh
nhanbdsreview,1,nhanbdsreview
ngoaid,1,ngoaid
ngob,1,ngob
ngonng,1,ngonng
ngpn,1,ngpn
ngptj,1,ngptj
nguyenman,1,nguyenman
nguòi,1,nguòi
nguô,1,nguô
ngênh,1,ngênh
ngưòi,1,ngưòi
ngườ,1,ngườ
ngườii,1,ngườii
ngẻ,1,ngẻ
ngừơi,1,ngừơi
nhahanggiaphuphuckien,1,nhahanggiaphuphuckien
nhâ,1,nhâ
nhâp,1,nhâp
hlv,1,hlv
nmà,1,nmà
nox,1,nox
nuaa,1,nuaa
nuea,1,nuea
nuok,1,nuok
nhéaa,1,nhéaa
nuoqsc,1,nuoqsc
nvc,1,nvc
nvd,1,nvd
nvvp,1,nhân viên văn phòng
nàykhongo,1,nàykhongo
nàyy,1,nàyy
nm,1,nm
nja,1,nja
nilông,1,nilông
nhòa,1,nhòa
nhóoo,1,nhóoo
nhơcs,1,nhóc
nhưnh,1,nhưng
nhưnv,1,nhưng
nhươc,1,nhươc
nhạv,1,nhạv
nhấttrong,1,nhấttrong
nhậtvới,1,nhậtvới
nhỉnm,1,nhỉnm
niceday,1,niceday
nicee,1,nicee
nieu,1,nieu
ngkhac,1,người khác
ngiều,1,ngiều
ngiên,1,ngiên
măt,1,mặt
mìnb,1,mình
mìng,1,mình
mìnhh,1,mình
mìnn,1,mình
môt,1,môt
múông,1,mông
măc,1,mắc
măth,1,măth
nghịêp,1,nghịêp
mưc,1,mưc
mưỗi,1,mưỗi
mạnđawcj,1,mạnđawcj
mặ,1,mặ
mềmm,1,mềmm
mộg,1,mộg
mớo,1,mớo
mâ,1,mâ
mátt,1,mát
máii,1,mái
mxh,1,mạng xã hội
mozzarella,1,mozzarella
mthai,1,mthai
muc,1,muc
mungkhaitruongchang,1,mungkhaitruongchang
muoi,1,muoi
muon,1,muon
mushtoom,1,mushtoom
muóna,1,muóna
muô,1,muô
muễn,1,muễn
muốickakka,1,muốickakka
muốngxào,1,muốngxào
muỗg,1,muỗg
mừoi,1,mừoi
nabe,1,nabe
neighbourhood,1,neighbourhood
neu,1,neu
neên,1,nên
nfon,1,nfon
ngat,1,ngat
ngc,1,ngc
nge,1,nge
ngen,1,ngen
nghiepà,1,nghiepà
nghiêhm,1,nghiêhm
nghiệmm,1,nghiệmm
nghon,1,nghon
nghuen,1,nghuen
nemu,1,nemu
nah,1,nah
neh,1,neh
namjim,1,namjim
nanban,1,nanban
naog,1,naog
narak,1,narak
naruto,1,naruto
nauy,1,nauy
naò,1,naò
nchuyện,1,nchuyện
nckd,1,nckd
ab,1,ab
nêmnếm,1,nêmnếm
nênn,1,nênn
nóg,1,nóg
phếc,1,phếc
phỉw,1,phỉw
phởthốđá,1,phở thố đá
phởviệtnam,1,phở việt nam
playlist,1,playlist
points,1,points
phât,1,phật
phumai,1,phumai
phuket,1,phuket
photobooth,1,photobooth
pastur,1,pastur
patechaud,1,patechaud
patecheaux,1,patecheaux
pattaya,1,pattaya
phm,1,phm
phongg,1,phongg
pokki,1,pokki
pooki,1,pooki
pt,1,pt
pvn,1,pvn
pvụ,1,pvụ
pâté,1,pâté
qen,1,qen
qlai,1,qlai
qt,1,qt
qtqđ,1,qtqđ
qtr,1,qtr
quand,1,quand
quangicungduoc,1,quangicungduoc
positiveenergy,1,positiveenergy
possiedon,1,possiedon
potay,1,potay
pov,1,pov
pp,1,pp
pricey,1,pricey
pricing,1,pricing
nóngg,1,nóngg
odr,1,odr
og,1,og
ohif,1,ohif
ohongf,1,ohongf
ohucj,1,ohucj
ohujc,1,ohujc
oishi,1,oishi
panacosta,1,panacosta
okayla,1,okayla
okelah,1,okelah
okilaa,1,okilaa
okilah,1,okilah
okok,1,okok
okonomiyaki,1,okonomiyaki
okoyadon,1,okoyadon
odors,1,odors
odermif,1,odermif
odeng,1,odeng
oden,1,oden
nónh,1,nónh
nơu,1,nơu
nưaz,1,nữa
nươc,1,nước
nướg,1,nướg
nởgiá,1,nởgiá
nứơc,1,nước
nữam,1,nữam
nữathì,1,nữathì
obathan,1,obathan
odaucungchup,1,odaucungchup
okr,1,okr
oliu,1,oliu
oversights,1,oversights
overwhelmed,1,overwhelmed
oy,1,oy
oôt,1,oôt
oỏder,1,oỏder
pachang,1,pachang
pachqn,1,pachqn
packaging,1,packaging
packing,1,packing
pamcha,1,pamcha
ottogi,1,ottogi
omrice,1,omrice
omurai,1,omurai
onl,1,onl
opens,1,opens
opmart,1,opmart
orde,1,orde
ordering,1,ordering
orrder,1,orrder
orther,1,orther
osen,1,osen
ot,1,ot
otoke,1,otoke
mosn,1,mosn
mootaka,1,mootaka
kakaa,1,kakaa
johnson,1,johnson
jolibe,1,jolibe
jp,1,jp
kaarage,1,kaarage
kadai,1,kadai
kalêla,1,kalêla
kangen,1,kangen
kapi,1,kapi
karaok,1,karaok
katsudon,1,katsudon
kavivu,1,kavivu
kawwai,1,kawwai
kbg,1,kbg
jo,1,jo
jjolmyeon,1,jjolmyeon
jjigae,1,jjigae
jjiappong,1,jjiappong
iuiu,1,iuiu
jajang,1,jajang
jajangngon,1,jajangngon
japanit,1,japanit
jeju,1,jeju
jjajangmyeon,1,jjajangmyeon
jjambong,1,jjambong
jjampong,1,jjampong
jjang,1,jjang
kcg,1,kcg
kcj,1,kcj
kdc,1,kdc
khôbg,1,khôbg
khôngg,1,khôngg
khôngo,1,khôngo
khônv,1,khônv
khă,1,khă
khăc,1,khăc
kichikichi,1,kichikichi
kiem,1,kiem
kimpbap,1,kimpbap
kimsa,1,kimsa
kingcrab,1,kingcrab
kj,1,kj
kl,1,kl
khôgn,1,khôgn
khâue,1,khâue
khâc,1,khâc
keeps,1,keeps
kei,1,kei
keu,1,keu
khac,1,khac
khach,1,khach
khapi,1,khapi
khoia,1,khoia
khokng,1,không
khs,1,khs
khxh,1,khxh
kháh,1,kháh
isushi,1,isushi
iphone,1,iphone
kng,1,kng
hppd,1,hppd
hotpot,1,hotpot
hotteok,1,hotteok
hours,1,hours
hoăc,1,hoặc
hp,1,hp
hriviu,1,hriviu
ipc,1,ipc
htp,1,htp
huhuhu,1,huhuhu
huhuhuhu,1,huhuhuhu
huyen,1,huyen
hotdeal,1,hotdeal
hmm,1,hmm
hmong,1,hmong
hnao,1,hnao
hoac,1,hoặc
hobak,1,hobak
hoegaarden,1,hoegaarden
hoisin,1,hoisin
hojicha,1,hojicha
hokaido,1,hokaido
hokkai,1,hokkai
hokkaidosushi,1,hokkaidosushi
hokke,1,hokke
homestyle,1,homestyle
huôngg,1,huôngg
huớng,1,huớng
hxua,1,hxua
ichiban,1,ichiban
ikayaza,1,ikayaza
includes,1,includes
inot,1,inot
instadaily,1,instadaily
instafood,1,instafood
instagram,1,instagram
internet,1,internet
ip,1,ip
ichi,1,ichi
hype,1,hype
hàg,1,hàg
hâhhahaha,1,hâhhahaha
hêhhehe,1,hêhhehe
hêt,1,hêt
hêť,1,hêť
híhis,1,híhis
hôpk,1,hôpk
høp,1,høp
hùynh,1,hùynh
húhúhú,1,húhúhú
hơnn,1,hơnn
hưong,1,hưong
hẹhẹ,1,hẹhẹ
hếtt,1,hếtt
họăc,1,hoặc
klq,1,klq
knghiem,1,knghiem
matchanduel,1,matchanduel
manwa,1,manwa
manwah,1,manwah
maruten,1,maruten
masaman,1,masaman
massaman,1,massaman
matchadeul,1,matchadeul
matched,1,matched
lọat,1,lọat
matches,1,matches
maui,1,maui
maximark,1,maximark
mayonaise,1,mayonaise
mayonaka,1,mayonaka
mayonako,1,mayonako
mangetsu,1,mangetsu
manchanduel,1,manchanduel
malaysia,1,malaysia
lữoi,1,lữoi
maafu,1,maafu
maafusushi,1,maafusushi
macau,1,macau
machelin,1,machelin
maintained,1,maintained
maireview,1,maireview
majone,1,majone
mak,1,mak
maketing,1,maketing
makgeoli,1,makgeoli
makup,1,makup
mbps,1,mbps
mc,1,mc
md,1,md
mins,1,mins
minutes,1,minutes
misses,1,misses
mixue,1,mixue
miông,1,miông
miệnt,1,miệng
mkt,1,mkt
mngg,1,mọi người
modified,1,modified
moitj,1,moitj
mookatha,1,mookatha
mookratha,1,mookratha
minigame,1,minigame
mechelin,1,mechelin
minht,1,minht
memu,1,menu
menlyfood,1,menlyfood
mentai,1,mentai
michellin,1,michellin
micheln,1,micheln
midtown,1,midtown
miengy,1,miếng
mifnh,1,mình
mih,1,mình
minhg,1,mình
minhgọi,1,minh gọi
lụy,1,lụy
lọai,1,lọai
lacàrấtphê,1,la cà rất phê
laii,1,laii
lếk,1,lếk
lemekong,1,lemekong
lf,1,lf
lacthai,1,lacthai
kố,1,kố
kokaku,1,kokaku
kokatsu,1,kokatsu
kombucha,1,kombucha
koong,1,koong
koreahouse,1,koreahouse
korena,1,korena
kout,1,kout
kte,1,kte
ktra,1,ktra
kush,1,kush
kuyng,1,kuyng
kyo,1,kyo
lhach,1,lhach
lichk,1,lichk
ltt,1,ltt
luac,1,luac
luun,1,luôn
luôb,1,luôn
lya,1,lya
lâi,1,lâi
lânf,1,lânf
lêb,1,lêb
lêd,1,lêd
lóa,1,lóa
lôt,1,lôt
lúmm,1,lúmm
lơp,1,lớp
lượmg,1,lượng
ltk,1,ltk
loves,1,loves
liek,1,liek
lovers,1,lovers
liked,1,liked
liê,1,liê
lkjo,1,lkjo
located,1,located
looks,1,looks
호치민시를,1,bỏ
